text,label
"Summary: Sales professional with strong negotiation ability. Skills: CRM, lead generation, cold calling. Experience: Closed large deals. Projects: Sales strategy design. Education: BBA. Certifications: Salesforce.",good
"Summary: Weak resume missing experience and skills. Skills: none. Experience: none. Education: 10th pass. Certifications: none.",bad
"Summary: Business analyst with data-driven decision making. Skills: SQL, Excel, PowerBI. Experience: Requirements gathering. Projects: KPI dashboards. Education: MBA. Certifications: BA Certification.",good
"Summary: Robotics engineer with hardware/software expertise. Skills: ROS, C++, Python, PCB design. Experience: Autonomous robot development. Projects: SLAM robot. Education: B.Tech Robotics. Certifications: Robotics Cert.",good
"Summary: Poorly formatted resume with no achievements. Skills: basic computer. Experience: nothing. Education: none. Certifications: none.",bad
"Summary: Full-stack Python developer. Skills: Flask, React, PostgreSQL, Docker. Experience: Built ERP modules. Projects: HRMS system. Education: B.Tech CSE. Certifications: Python Bootcamp.",good
"Summary: Cloud security engineer. Skills: IAM, VPC, GuardDuty, SecurityHub. Experience: Secured AWS workloads. Projects: Threat modeling. Education: B.Tech IT. Certifications: AWS Security Specialty.",good
"Summary: Completely irrelevant text not related to a resume. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: HR recruiter with 2 years experience. Skills: sourcing, screening, ATS. Experience: Filled 100+ roles. Projects: Hiring pipeline optimization. Education: MBA HR. Certifications: HRBP.",good
"Summary: UI/UX designer. Skills: Figma, wireframing, prototyping. Experience: App redesigns. Projects: Fintech UI revamp. Education: B.Des. Certifications: UX Certification.",good
"Summary: Student with only one-line resume and no detail. Skills: none. Experience: none. Education: none.",bad
"Summary: Network engineer. Skills: Cisco routers, switches, firewalls. Experience: Configured networks. Projects: Office network deployment. Education: B.Tech ECE. Certifications: CCNA.",good
"Summary: QA engineer. Skills: Selenium, Cypress, API testing, Jira. Experience: Automated test suites. Projects: Regression automation. Education: B.Tech CSE. Certifications: ISTQB.",good
"Summary: Poor resume with no structure. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: Blockchain developer. Skills: Solidity, Ethereum, smart contracts. Experience: Built dApps. Projects: Token exchange. Education: B.Tech CSE. Certifications: Blockchain Developer.",good
"Summary: Data analyst. Skills: SQL, Python, Power BI, Excel. Experience: Cleaned datasets, dashboards. Projects: Sales dashboard. Education: BBA Analytics. Certifications: DA Certification.",good
"Summary: Social media manager. Skills: Canva, Instagram Analytics. Experience: Grew audience. Projects: Campaigns. Education: BA Mass Com. Certifications: Social Media Marketing.",good
"Summary: Weak resume with informal text. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Biomedical engineer. Skills: Medical devices, imaging systems. Experience: Hospital equipment support. Projects: Device testing. Education: B.Tech Biomedical. Certifications: Medical Equip Cert.",good
"Summary: Lawyer with research and drafting skills. Skills: Legal drafting, case research. Experience: Assisted in litigation. Projects: Contract reviews. Education: LLB. Certifications: Bar License.",good
"Summary: Mechanical engineer with experience in CAD and manufacturing processes. Skills: AutoCAD, SolidWorks, CNC, machining. Experience: Designed components for automotive clients. Projects: Gear system design. Education: B.Tech Mechanical. Certifications: CAD Professional.",good
"Summary: Electrical engineer with control systems knowledge. Skills: MATLAB, Simulink, PLC, SCADA. Experience: Automation intern. Projects: Control loop simulation. Education: B.Tech Electrical. Certifications: PLC Automation.",good
"Summary: Resume missing structure and details, extremely short and unclear. Skills: none. Experience: none. Education: unknown. Certifications: none.",bad
"Summary: Social worker with community assistance experience. Skills: communication, planning, counselling. Experience: Led welfare initiatives. Projects: Community outreach. Education: MSW. Certifications: Social Work Cert.",good
"Summary: Chef with culinary creativity. Skills: baking, cooking, menu planning. Experience: Worked in restaurants. Projects: Menu redesign. Education: Diploma Culinary Arts. Certifications: Food Safety.",good
"Summary: Incomplete resume with random words and no professional info. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Civil engineer with site supervision experience. Skills: AutoCAD, surveying, estimation. Experience: Managed construction sites. Projects: Residential building. Education: B.Tech Civil. Certifications: PMP.",good
"Summary: Interior designer with creative portfolio. Skills: 3D modeling, SketchUp, lighting design. Experience: Designed home interiors. Projects: Modern home renovation. Education: B.Des Interior. Certifications: Interior Design Cert.",good
"Summary: Poor resume structure lacking all sections. Skills: none. Experience: none. Education: minimal. Certifications: none.",bad
"Summary: Business development executive with strong client relations experience. Skills: CRM, lead generation, presentations. Experience: Closed B2B deals. Projects: Expansion strategy. Education: BBA. Certifications: Sales Cert.",good
"Summary: Medical lab technician. Skills: pathology testing, lab equipment handling. Experience: Hospital lab intern. Projects: Sample workflow optimization. Education: B.Sc MLT. Certifications: Lab Technician Cert.",good
"Summary: Nurse with patient care experience. Skills: vital monitoring, wound care, reporting. Experience: ICU and ward duties. Projects: Patient safety initiative. Education: B.Sc Nursing. Certifications: Registered Nurse.",good
"Summary: Pharmacist with prescription handling experience. Skills: drug dispensing, inventory. Experience: Pharmacy assistant. Projects: Medicine database. Education: B.Pharm. Certifications: Pharmacy License.",good
"Summary: Resume extremely vague with no real content. Skills: none. Experience: none. Education: unclear. Certifications: none.",bad
"Summary: Hotel management graduate with hospitality experience. Skills: customer service, front desk, F&B. Experience: Hotel intern. Projects: Guest experience improvement. Education: BHM. Certifications: Hospitality Cert.",good
"Summary: Airline cabin crew professional. Skills: safety procedures, communication. Experience: 3 years flying experience. Projects: Customer satisfaction improvement. Education: Diploma Aviation. Certifications: Cabin Crew Cert.",good
"Summary: Very short resume with only one sentence. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Psychologist with counselling experience. Skills: assessment, therapy planning, communication. Experience: Counsellor intern. Projects: Mental wellness program. Education: M.A Psychology. Certifications: Counselling Cert.",good
"Summary: Journalist with storytelling and reporting skills. Skills: writing, editing, interviewing. Experience: News portal writer. Projects: Feature stories. Education: BA Journalism. Certifications: Journalism Cert.",good
"Summary: Extremely unprofessional resume with jokes and informal language. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Dentist with clinical experience. Skills: root canals, crowns, dental procedures. Experience: Clinic intern. Projects: Dental awareness camp. Education: BDS. Certifications: Dental License.",good
"Summary: Physiotherapist with rehabilitation experience. Skills: exercises, evaluation, therapy planning. Experience: Sports injury rehab. Projects: Posture correction program. Education: BPT. Certifications: PT License.",good
"Summary: Thin resume missing all core sections. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: Fashion designer with garment design experience. Skills: pattern making, stitching, illustration. Experience: Boutique designer. Projects: Bridal collection. Education: B.Des Fashion. Certifications: Fashion Design Cert.",good
"Summary: Event manager with planning and coordination skills. Skills: logistics, vendor mgmt, negotiation. Experience: Corporate events. Projects: Annual conference. Education: BBA Event Mgmt. Certifications: Event Cert.",good
"Summary: No skillset mentioned and poorly formed resume. Skills: none. Experience: none. Education: minimal. Certifications: none.",bad
"Summary: Logistics coordinator. Skills: supply chain, warehouse operations, tracking. Experience: Managed shipments. Projects: Inventory optimization. Education: B.Com Logistics. Certifications: Logistics Cert.",good
"Summary: Accountant with strong finance knowledge. Skills: Tally, Excel, GST, taxation. Experience: 3-year accounting experience. Projects: Audit support. Education: B.Com. Certifications: Accounting Cert.",good
"Summary: Weak resume lacking detail and description. Skills: typing. Experience: none. Education: 10th pass. Certifications: none.",bad
"Summary: Bank officer with customer service experience. Skills: KYC, loan processing, accounts mgmt. Experience: Branch operations. Projects: Loan approval workflow. Education: B.Com Banking. Certifications: Banking Cert.",good
"Summary: Research scientist in biotechnology. Skills: PCR, DNA extraction, lab analysis. Experience: Lab research. Projects: Gene expression study. Education: M.Sc Biotechnology. Certifications: Biotech Research Cert.",good
"Summary: Poor formatting and incomplete resume. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: Sports coach with training experience. Skills: fitness training, team management. Experience: School coach. Projects: Training program. Education: B.P.Ed. Certifications: Coaching Cert.",good
"Summary: Photographer with creative eye. Skills: Lightroom, Photoshop, DSLR. Experience: Event shoots. Projects: Portrait series. Education: Diploma Photography. Certifications: Photography Cert.",good
"Summary: Very low-quality resume without structure. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Customer support representative. Skills: ticketing tools, communication, empathy. Experience: Resolved customer queries. Projects: CSAT improvement. Education: BA. Certifications: Customer Support Cert.",good
"Summary: Retail store manager. Skills: merchandise planning, customer handling. Experience: Managed store operations. Projects: Sales uplift plan. Education: BBA. Certifications: Retail Cert.",good
"Summary: Resume with no meaningful information. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Linguist and translator. Skills: translation, proofreading, grammar. Experience: Freelance translator. Projects: Document translations. Education: MA Linguistics. Certifications: Language Proficiency.",good
"Summary: Music producer. Skills: mixing, mastering, composition. Experience: Studio production. Projects: Music album. Education: Diploma Music. Certifications: Sound Engineering.",good
"Summary: Bare minimum resume with no accomplishments. Skills: none. Experience: none. Education: minimal. Certifications: none.",bad
"Summary: Nutritionist. Skills: diet planning, assessment, counselling. Experience: Clinic nutritionist. Projects: Diet plan program. Education: B.Sc Nutrition. Certifications: Nutrition Cert.",good
"Summary: Aviation engineer. Skills: aircraft maintenance, quality checks. Experience: Aviation intern. Projects: Safety audit. Education: B.Tech Aeronautical. Certifications: Aircraft Maintenance Cert.",good
"Summary: Poorly written resume lacking sections. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: Public relations manager. Skills: communication, branding, crisis mgmt. Experience: Managed PR campaigns. Projects: Brand awareness program. Education: BA Public Relations. Certifications: PR Cert.",good
"Summary: Data engineer. Skills: Python, SQL, Spark, ETL pipelines. Experience: Built data lakes. Projects: Batch/stream pipelines. Education: B.Tech CSE. Certifications: Data Engineer Cert.",good
"Summary: Incomplete resume with random text. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Marine engineer. Skills: ship maintenance, engines, safety checks. Experience: Vessel operations. Projects: Engine overhaul. Education: B.Tech Marine. Certifications: Marine Cert.",good
"Summary: Environmental engineer focused on sustainability. Skills: waste management, water treatment, environmental audits. Experience: Intern at environmental consultancy. Projects: Waste reduction plan. Education: B.Tech Environmental. Certifications: Environmental Compliance Cert.",good
"Summary: Geologist with field survey experience. Skills: GIS, mapping, sample analysis. Experience: Mining site surveys. Projects: Geological mapping study. Education: M.Sc Geology. Certifications: GIS Cert.",good
"Summary: Very poorly structured resume with no achievements. Skills: none. Experience: none. Education: basic. Certifications: none.",bad
"Summary: Economist with analytical skills. Skills: econometrics, data analysis, forecasting. Experience: Policy research. Projects: Financial impact study. Education: M.A Economics. Certifications: Economic Analysis Cert.",good
"Summary: Political science graduate with research experience. Skills: writing, survey research, analysis. Experience: Assisted professor. Projects: Election data study. Education: MA Political Science. Certifications: Research Cert.",good
"Summary: Resume with only 2–3 generic words and no professional data. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Animator. Skills: Blender, Maya, storyboarding. Experience: Animated short films. Projects: 3D animation clip. Education: B.Des Animation. Certifications: Animation Cert.",good
"Summary: Logistics manager with 5+ years experience. Skills: SCM, ERP, forecasting. Experience: Managed supply chain operations. Projects: Cost optimization. Education: MBA SCM. Certifications: Supply Chain Cert.",good
"Summary: Poor English and no structured details. Skills: none. Experience: none. Education: unclear. Certifications: none.",bad
"Summary: Artificial Intelligence engineer. Skills: LLMs, Transformers, Python, MLOps. Experience: Deployed NLP models. Projects: Chatbot pipeline. Education: B.Tech AI. Certifications: Deep Learning Specialization.",good
"Summary: HR generalist. Skills: payroll, onboarding, grievance handling. Experience: 2 years HR operations. Projects: Employee engagement initiative. Education: MBA HR. Certifications: HR Generalist Cert.",good
"Summary: Biology researcher. Skills: microscopy, lab testing, data analysis. Experience: Research intern. Projects: Cell culture study. Education: M.Sc Biology. Certifications: Lab Research Cert.",good
"Summary: Very short and unclear resume. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: IT support technician. Skills: troubleshooting, hardware repair, network basics. Experience: Helpdesk role. Projects: Ticket automation script. Education: BCA. Certifications: CompTIA A+.",good
"Summary: Robotics automation engineer. Skills: PLC, sensors, actuators, ROS. Experience: Industrial automation. Projects: Conveyor robot. Education: B.Tech Robotics. Certifications: Automation Cert.",good
"Summary: Repetitive and incomplete text, no professional meaning. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Business strategist. Skills: planning, research, competitor analysis. Experience: Developed business plans. Projects: Market entry study. Education: MBA Strategy. Certifications: Strategy Cert.",good
"Summary: Dermatologist with clinical experience. Skills: skincare treatment, diagnosis. Experience: Clinic intern. Projects: Skin awareness camp. Education: MD Dermatology. Certifications: Medical License.",good
"Summary: Resume has jokes, memes and non-professional tone. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Civil site engineer. Skills: AutoCAD, surveying, BOQ. Experience: Residential construction. Projects: Villa project. Education: B.Tech Civil. Certifications: Civil Engineer Cert.",good
"Summary: Data architect. Skills: SQL, Snowflake, ETL design, data modeling. Experience: Designed enterprise warehouses. Projects: Data lake architecture. Education: B.Tech CSE. Certifications: Data Architecture Cert.",good
"Summary: No structured information and irrelevant sentences. Skills: none. Experience: none. Education: unclear. Certifications: none.",bad
"Summary: Kindergarten teacher. Skills: child care, communication, planning. Experience: Taught early childhood classes. Projects: Activity-based learning. Education: B.Ed. Certifications: Teacher Training.",good
"Summary: Veterinary doctor. Skills: animal treatment, diagnosis. Experience: Veterinary intern. Projects: Pet health drive. Education: BVSc. Certifications: Vet License.",good
"Summary: Unstructured resume lacking clarity. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Cybersecurity engineer. Skills: SIEM, IDS, malware analysis, Kali Linux. Experience: Secured enterprise infra. Projects: Threat detection rules. Education: B.Tech Cybersecurity. Certifications: CEH, Security+.",good
"Summary: Agricultural engineer. Skills: crop modeling, irrigation systems. Experience: Farm automation internships. Projects: Irrigation setup. Education: B.Tech Agriculture. Certifications: Agri Tech Cert.",good
"Summary: Broken resume template with no real content. Skills: none. Experience: none. Education: minimal. Certifications: none.",bad
"Summary: Sales strategist. Skills: CRM, sales planning, negotiation. Experience: Achieved 120% targets. Projects: Sales funnel optimization. Education: MBA Sales. Certifications: Sales Strategy Cert.",good
"Summary: Mining engineer. Skills: blasting, surveying, mine planning. Experience: Underground mining intern. Projects: Fault line mapping. Education: B.Tech Mining. Certifications: Mining Safety.",good
"Summary: Resume missing skills and experience. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: Creative copywriter. Skills: storytelling, scripting, editing. Experience: Ad agency writer. Projects: Ad campaigns. Education: BA Literature. Certifications: Copywriting Cert.",good
"Summary: Arabic translator. Skills: translation, proofreading, editing. Experience: Freelance translator. Projects: Legal docs. Education: BA Arabic. Certifications: Language Cert.",good
"Summary: Resume too short and contains incomplete information. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Investment banker. Skills: financial modeling, valuation, presentations. Experience: M&A and IPO support. Projects: Valuation model. Education: MBA Finance. Certifications: CFA.",good
"Summary: HR analyst. Skills: Excel, HR dashboards, employee metrics. Experience: People analytics. Projects: HR dashboard automation. Education: MBA HR. Certifications: HR Analytics.",good
"Summary: Poor grammar and unclear statements throughout the resume. Skills: none. Experience: none. Education: unclear. Certifications: none.",bad
"Summary: Web designer. Skills: HTML, CSS, JavaScript, Figma. Experience: Landing pages, UI redesign. Projects: Portfolio redesign. Education: BCA. Certifications: Web Design Cert.",good
"Summary: Senior accountant. Skills: tax filing, financial reporting, auditing. Experience: Managed ledger entries. Projects: Audit automation. Education: B.Com. Certifications: CA Inter.",good
"Summary: Resume full of spelling errors and missing sections. Skills: none. Experience: none. Education: minimal. Certifications: none.",bad
"Summary: Statistician. Skills: R, Python, probability modeling. Experience: Survey analysis. Projects: Regression modeling. Education: M.Sc Statistics. Certifications: Stats Cert.",good
"Summary: Marine biologist. Skills: data collection, analysis, diving. Experience: Field research. Projects: Coral reef study. Education: M.Sc Marine Biology. Certifications: Marine Research Cert.",good
"Summary: Low-effort resume with 1–2 lines only. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Customer success manager. Skills: onboarding, relationship mgmt, retention. Experience: Improved NPS. Projects: Onboarding framework. Education: BBA. Certifications: CSM.",good
"Summary: Drone engineer. Skills: UAV design, flight control, simulations. Experience: Built custom drones. Projects: Autonomous drone. Education: B.Tech Aerospace. Certifications: Drone Tech Cert.",good
"Summary: Resume incomplete and missing core sections. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: Hospitality manager. Skills: guest relations, quality control. Experience: Managed hotel operations. Projects: Guest delight program. Education: BHM. Certifications: Hospitality Cert.",good
"Summary: Industrial engineer with optimization expertise. Skills: lean manufacturing, quality control, process improvement. Experience: Reduced production waste by 18%. Projects: Assembly line optimization. Education: B.Tech Industrial. Certifications: Six Sigma Green Belt.",good
"Summary: Oceanographer. Skills: sonar mapping, marine sampling, data logging. Experience: Ocean survey intern. Projects: Sea current analysis. Education: M.Sc Oceanography. Certifications: Marine Survey Cert.",good
"Summary: Resume missing most information and lacking structure. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Speech therapist. Skills: speech evaluation, therapy planning, communication exercises. Experience: Clinic therapist. Projects: Stuttering therapy program. Education: BASLP. Certifications: Speech Therapy License.",good
"Summary: Digital illustrator. Skills: Procreate, Photoshop, vector art. Experience: Freelance illustrations. Projects: Children’s book art. Education: BFA. Certifications: Illustration Cert.",good
"Summary: Very minimal text without meaningful information. Skills: none. Experience: none. Education: incomplete. Certifications: none.",bad
"Summary: Mechanical design engineer. Skills: SolidWorks, GD&T, simulations. Experience: Designed mechanical assemblies. Projects: Suspension system model. Education: B.Tech Mechanical. Certifications: Design Engineer Cert.",good
"Summary: Automobile engineer. Skills: engine diagnostics, ECU tuning, CAD. Experience: Auto workshop intern. Projects: Vehicle performance study. Education: B.Tech Automobile. Certifications: Automotive Cert.",good
"Summary: Poorly structured resume without sections. Skills: none. Experience: none. Education: minimal. Certifications: none.",bad
"Summary: SEO strategist. Skills: keyword research, on-page SEO, analytics. Experience: Improved ranking for clients. Projects: SEO audits. Education: BBA Marketing. Certifications: SEO Specialist.",good
"Summary: Cloud-native developer. Skills: AWS Lambda, DynamoDB, API Gateway, serverless. Experience: Built serverless APIs. Projects: Event-driven pipeline. Education: B.Tech CSE. Certifications: AWS Developer.",good
"Summary: Resume lacks clarity and formatting. Skills: none. Experience: none. Education: vague. Certifications: none.",bad
"Summary: Event coordinator. Skills: planning, vendor management, scheduling. Experience: Corporate events. Projects: Annual festival. Education: BBA. Certifications: Event Planning Cert.",good
"Summary: Speechwriter. Skills: writing, research, editing. Experience: Scriptwriting for executives. Projects: TED-style speech. Education: MA English. Certifications: Writing Cert.",good
"Summary: Resume includes only unprofessional slang and jokes. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Android automation tester. Skills: Appium, Selenium, Java, TestNG. Experience: Automated mobile test suites. Projects: Regression automation. Education: B.Tech CSE. Certifications: Mobile Testing Cert.",good
"Summary: System administrator. Skills: Linux, Active Directory, virtualization. Experience: Managed IT infrastructure. Projects: Server hardening. Education: BCA. Certifications: RHCE.",good
"Summary: Poor description and incomplete work history. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Blockchain architect. Skills: Solidity, smart contract optimization, Web3. Experience: Designed DeFi platforms. Projects: Tokenization system. Education: B.Tech CSE. Certifications: Blockchain Expert.",good
"Summary: Machine learning researcher. Skills: PyTorch, CV, NLP, transformers. Experience: Research intern. Projects: LLM fine-tuning. Education: M.Tech AI. Certifications: ML Research Cert.",good
"Summary: Resume contains random sentences and no job info. Skills: none. Experience: none. Education: unclear. Certifications: none.",bad
"Summary: HR operations specialist. Skills: payroll mgmt, benefits, onboarding. Experience: HR coordinator. Projects: HRMS automation. Education: MBA HR. Certifications: HR Ops Cert.",good
"Summary: English professor. Skills: literature analysis, communication, research. Experience: University lecturer. Projects: Literary analysis paper. Education: MA + PhD English. Certifications: Teaching License.",good
"Summary: Very empty resume with unclear content. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Sales engineer. Skills: CRM, solution selling, product demos. Experience: Technical sales. Projects: Sales pipeline improvement. Education: B.Tech Mechanical. Certifications: Sales Engineer Cert.",good
"Summary: AI ethics researcher. Skills: fairness, bias detection, governance. Experience: Research intern. Projects: Bias mitigation model. Education: M.Tech AI Ethics. Certifications: Ethics Cert.",good
"Summary: Poor resume with no areas of expertise mentioned. Skills: none. Experience: none. Education: minimal. Certifications: none.",bad
"Summary: Scrum master. Skills: Agile, Jira, sprint planning. Experience: Led agile teams. Projects: Agile transformation. Education: B.Tech. Certifications: CSM.",good
"Summary: Landscape architect. Skills: site planning, 3D design, horticulture. Experience: Park designs. Projects: Urban garden. Education: B.Arch Landscape. Certifications: Landscape Design Cert.",good
"Summary: Resume with poor wording and no accomplishments. Skills: none. Experience: none. Education: little. Certifications: none.",bad
"Summary: AI product manager. Skills: backlog mgmt, analytics, research. Experience: Launched ML features. Projects: Recommender system. Education: B.Tech + MBA. Certifications: PM Certification.",good
"Summary: Renewable energy engineer. Skills: solar PV, wind turbines, energy modeling. Experience: Renewable projects. Projects: Solar plant analysis. Education: B.Tech Renewable. Certifications: Energy Cert.",good
"Summary: Resume contains irrelevant non-professional text. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Food technologist. Skills: food safety, quality checks. Experience: Food lab intern. Projects: Nutritional analysis. Education: B.Sc Food Tech. Certifications: Food Safety Cert.",good
"Summary: Aerospace engineer. Skills: aerodynamics, CFD, structures. Experience: Flight simulation intern. Projects: Wing optimization. Education: B.Tech Aerospace. Certifications: Aeronautical Cert.",good
"Summary: Missing formatting and important sections. Skills: none. Experience: none. Education: none. Certifications: none.",bad
"Summary: Supply chain analyst. Skills: SQL, ERP, forecasting, Excel. Experience: Demand planning. Projects: Inventory forecasting. Education: MBA SCM. Certifications: SCM Cert.",good
"Summary: Mobile game developer. Skills: Unity, C#, 2D/3D game design. Experience: Published games. Projects: Mobile RPG game. Education: B.Tech CSE. Certifications: Game Dev Cert.",good
"Summary: Weak resume with no structure or detail. Skills: none. Experience: none. Education: basic. Certifications: none.",bad
"Summary: GIS analyst. Skills: ArcGIS, QGIS, mapping, spatial analysis. Experience: GIS surveys. Projects: Land mapping. Education: B.Sc Geography. Certifications: GIS Cert.",good
"Summary: Clinical researcher. Skills: trials, data collection, analysis. Experience: Clinical research associate. Projects: Trial monitoring. Education: M.Sc Clinical Research. Certifications: Clinical Cert.",good
"Summary: Resume contains incomplete sentences and bad formatting. Skills: none. Experience: none. Education: unclear. Certifications: none.",bad
"Summary: Automotive designer. Skills: CAD, clay modeling, sketches. Experience: Vehicle concept design. Projects: Car prototype. Education: B.Des Automotive. Certifications: Automotive Design Cert.",good
